id,router_type,input,routing_time
0,basic,query_0,1.2500095181167126e-06
1,basic,query_1,8.750357665121555e-07
2,basic,query_2,2.500019036233425e-07
3,basic,query_3,2.0803418010473251e-07
4,basic,query_4,2.0797597244381905e-07
5,basic,query_5,1.6705598682165146e-07
6,basic,query_6,1.2497184798121452e-07
7,basic,query_7,1.6600824892520905e-07
8,basic,query_8,1.6600824892520905e-07
9,basic,query_9,1.66997779160738e-07
10,basic,query_10,1.6600824892520905e-07
11,basic,query_11,1.6705598682165146e-07
12,basic,query_12,1.2497184798121452e-07
13,basic,query_13,1.2497184798121452e-07
14,basic,query_14,1.2497184798121452e-07
15,basic,query_15,1.6600824892520905e-07
16,basic,query_16,1.2497184798121452e-07
17,basic,query_17,1.25030055642128e-07
18,basic,query_18,1.6595004126429558e-07
19,basic,query_19,1.2497184798121452e-07
20,basic,query_20,1.6600824892520905e-07
21,basic,query_21,1.66997779160738e-07
22,basic,query_22,1.25030055642128e-07
23,basic,query_23,1.6600824892520905e-07
24,basic,query_24,1.2497184798121452e-07
25,basic,query_25,1.6600824892520905e-07
26,basic,query_26,1.66997779160738e-07
27,basic,query_27,2.0803418010473251e-07
28,basic,query_28,1.2497184798121452e-07
29,basic,query_29,1.25030055642128e-07
30,basic,query_30,1.2497184798121452e-07
31,basic,query_31,1.2497184798121452e-07
32,basic,query_32,1.25030055642128e-07
33,basic,query_33,1.2497184798121452e-07
34,basic,query_34,1.2497184798121452e-07
35,basic,query_35,1.6600824892520905e-07
36,basic,query_36,1.25030055642128e-07
37,basic,query_37,1.2497184798121452e-07
38,basic,query_38,1.2497184798121452e-07
39,basic,query_39,1.6600824892520905e-07
40,basic,query_40,1.25030055642128e-07
41,basic,query_41,1.25030055642128e-07
42,basic,query_42,1.66997779160738e-07
43,basic,query_43,1.6600824892520905e-07
44,basic,query_44,1.25030055642128e-07
45,basic,query_45,1.25030055642128e-07
46,basic,query_46,1.25030055642128e-07
47,basic,query_47,1.6600824892520905e-07
48,basic,query_48,1.25030055642128e-07
49,basic,query_49,1.6600824892520905e-07
50,basic,query_50,1.2497184798121452e-07
51,basic,query_51,1.6600824892520905e-07
52,basic,query_52,1.2497184798121452e-07
53,basic,query_53,1.25030055642128e-07
54,basic,query_54,1.6595004126429558e-07
55,basic,query_55,1.6600824892520905e-07
56,basic,query_56,1.2497184798121452e-07
57,basic,query_57,1.6600824892520905e-07
58,basic,query_58,1.25030055642128e-07
59,basic,query_59,1.6600824892520905e-07
60,basic,query_60,1.2497184798121452e-07
61,basic,query_61,1.2497184798121452e-07
62,basic,query_62,1.6600824892520905e-07
63,basic,query_63,1.2497184798121452e-07
64,basic,query_64,1.6600824892520905e-07
65,basic,query_65,1.2497184798121452e-07
66,basic,query_66,1.25030055642128e-07
67,basic,query_67,1.25030055642128e-07
68,basic,query_68,1.6600824892520905e-07
69,basic,query_69,1.2497184798121452e-07
70,basic,query_70,1.66997779160738e-07
71,basic,query_71,1.66997779160738e-07
72,basic,query_72,1.2497184798121452e-07
73,basic,query_73,1.66997779160738e-07
74,basic,query_74,1.66997779160738e-07
75,basic,query_75,1.25030055642128e-07
76,basic,query_76,1.6600824892520905e-07
77,basic,query_77,1.25030055642128e-07
78,basic,query_78,1.25030055642128e-07
79,basic,query_79,1.25030055642128e-07
80,basic,query_80,1.2497184798121452e-07
81,basic,query_81,1.6600824892520905e-07
82,basic,query_82,1.2497184798121452e-07
83,basic,query_83,1.25030055642128e-07
84,basic,query_84,1.25030055642128e-07
85,basic,query_85,1.25030055642128e-07
86,basic,query_86,1.25030055642128e-07
87,basic,query_87,1.25030055642128e-07
88,basic,query_88,1.66997779160738e-07
89,basic,query_89,1.6600824892520905e-07
90,basic,query_90,1.25030055642128e-07
91,basic,query_91,1.6595004126429558e-07
92,basic,query_92,1.6600824892520905e-07
93,basic,query_93,1.2497184798121452e-07
94,basic,query_94,1.2497184798121452e-07
95,basic,query_95,1.2497184798121452e-07
96,basic,query_96,1.2497184798121452e-07
97,basic,query_97,1.2497184798121452e-07
98,basic,query_98,1.66997779160738e-07
99,basic,query_99,1.66997779160738e-07
100,domain,query_0,4.082976374775171e-06
101,domain,query_1,1.500011421740055e-06
102,domain,query_2,1.00000761449337e-06
103,domain,query_3,6.67001586407423e-07
104,domain,query_4,7.500057108700275e-07
105,domain,query_5,7.079797796905041e-07
106,domain,query_6,7.080379873514175e-07
107,domain,query_7,7.500057108700275e-07
108,domain,query_8,7.500057108700275e-07
109,domain,query_9,7.080379873514175e-07
110,domain,query_10,7.500057108700275e-07
111,domain,query_11,7.079797796905041e-07
112,domain,query_12,6.67001586407423e-07
113,domain,query_13,7.500057108700275e-07
114,domain,query_14,6.67001586407423e-07
115,domain,query_15,7.08969309926033e-07
116,domain,query_16,7.500057108700275e-07
117,domain,query_17,7.080379873514175e-07
118,domain,query_18,7.079797796905041e-07
119,domain,query_19,6.67001586407423e-07
120,domain,query_20,7.079797796905041e-07
121,domain,query_21,7.079797796905041e-07
122,domain,query_22,7.079797796905041e-07
123,domain,query_23,7.079797796905041e-07
124,domain,query_24,7.079797796905041e-07
125,domain,query_25,6.660120561718941e-07
126,domain,query_26,7.500057108700275e-07
