id,router,input,route_time,expert,result_or_error
0,basic,query_0,0.000001,Payments,[Payments] query_0
1,basic,query_1,0.000000,Payments,ERROR: timeout after 3 tries
2,basic,query_2,0.000003,Payments,ERROR: timeout after 3 tries
3,basic,query_3,0.000003,Payments,ERROR: timeout after 3 tries
4,basic,query_4,0.000004,Payments,ERROR: timeout after 3 tries
5,basic,query_5,0.000001,Payments,ERROR: timeout after 3 tries
6,basic,query_6,0.000002,Payments,ERROR: timeout after 3 tries
7,basic,query_7,0.000002,Payments,ERROR: timeout after 3 tries
8,basic,query_8,0.000004,Payments,ERROR: timeout after 3 tries
9,basic,query_9,0.000001,Payments,ERROR: timeout after 3 tries
